File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w1,7_h3,6_ts500_phic_1ml,min_180fps_1",,,,,,,,,,,,,
,1.7,3.6,,1,180,435,444,1075,0.05,3.505555556,0.833333333,58.42592593,permanent
,1.7,3.6,,2,180,1075,1086,2022,0.061111111,5.2,1.018518519,86.66666667,permanent
,1.7,3.6,,3,180,2022,2040,2056,0.1,0.088888889,1.666666667,1.481481481,temp very short
,1.7,3.6,,4,180,2056,2137,2980,0.45,4.683333333,7.5,78.05555556,permanent
,1.7,3.6,,5,180,2980,3006,3740,0.144444444,4.077777778,2.407407407,67.96296296,permanent
,1.7,3.6,,6,180,3740,3806,4549,0.366666667,4.127777778,6.111111111,68.7962963,permanent
,1.7,3.6,,7,180,4549,4552,5194,0.016666667,3.566666667,0.277777778,59.44444444,permanent
,1.7,3.6,,8,180,5194,5199,5888,0.027777778,3.827777778,0.462962963,63.7962963,permanent
,1.7,3.6,,9,180,5888,5911,6617,0.127777778,3.922222222,2.12962963,65.37037037,permanent
,1.7,3.6,,10,180,6617,6626,7356,0.05,4.055555556,0.833333333,67.59259259,permanent
,1.7,3.6,,11,180,7356,7461,8461,0.583333333,5.555555556,9.722222222,92.59259259,"permanent, quite a few granules leaked. The structure of the arch slightly changed after the leaking"
,1.7,3.6,,12,180,8461,8580,9553,0.661111111,5.405555556,11.01851852,90.09259259,"permanent, a few granules leaked"
,1.7,3.6,,13,180,9553,9710,10580,0.872222222,4.833333333,14.53703704,80.55555556,permanent
,1.7,3.6,,14,180,10580,10625,11658,0.25,5.738888889,4.166666667,95.64814815,permanent
,1.7,3.6,,15,180,11658,11676,12762,0.1,6.033333333,1.666666667,100.5555556,permanent
,1.7,3.6,,16,180,12762,12790,13643,0.155555556,4.738888889,2.592592593,78.98148148,permanent
,1.7,3.6,,17,180,13643,13658,14377,0.083333333,3.994444444,1.388888889,66.57407407,permanent
,1.7,3.6,,18,180,14377,14405,15202,0.155555556,4.427777778,2.592592593,73.7962963,permanent
,1.7,3.6,,19,180,15202,15211,15996,0.05,4.361111111,0.833333333,72.68518519,permanent
,1.7,3.6,,20,180,15996,16003,16763,0.038888889,4.222222222,0.648148148,70.37037037,"permanent, a few granules leaked"
,1.7,3.6,,21,180,16763,16775,17727,0.066666667,5.288888889,1.111111111,88.14814815,permanent
,1.7,3.6,,22,180,17727,17734,17793,0.038888889,0.327777778,0.648148148,5.462962963,partial arch
,1.7,3.6,,23,180,17793,17858,18928,0.361111111,5.944444444,6.018518519,99.07407407,permanent
,1.7,3.6,,24,180,18928,18931,19734,0.016666667,4.461111111,0.277777778,74.35185185,"permanent, a few granules leaked"
,1.7,3.6,,25,180,19734,19745,20931,0.061111111,6.588888889,1.018518519,109.8148148,"permanent, quite a few granules leaked, and left with a very ""hollow"" arch shown in the right"
,1.7,3.6,,26,180,20931,20949,,,,1.666666667,,video ended
